Area,Year,PublicationCount
aaai,1980,4
aaai,1982,11
aaai,1983,15
aaai,1984,24
aaai,1986,118
aaai,1987,76
aaai,1988,90
aaai,1990,165
aaai,1991,136
aaai,1992,131
aaai,1993,132
aaai,1994,302
aaai,1997,197
aaai,1998,204
aaai,1999,173
aaai,2000,214
aaai,2002,151
aaai,2004,144
aaai,2005,246
aaai,2006,279
aaai,2007,272
aaai,2008,254
aaai,2010,274
aaai,2011,257
aaai,2012,305
aaai,2013,210
aaai,2014,423
aaai,2015,566
aaai,2016,579
aaai,2017,671
aaai,2018,984
aaai,2019,1207
aaai,2020,1668
aaai,2021,1772
aaai,2022,1452
aaai,2023,1842
aaai,2024,2660
acl,1979,28
acl,1980,44
acl,1981,16
acl,1982,18
acl,1983,21
acl,1985,38
acl,1986,36
acl,1987,32
acl,1988,35
acl,1989,34
acl,1990,39
acl,1991,44
acl,1992,34
acl,1993,33
acl,1994,42
acl,1995,37
acl,1996,42
acl,1997,62
acl,1998,146
acl,1999,77
acl,2000,72
acl,2001,70
acl,2002,65
acl,2003,71
acl,2004,88
acl,2005,103
acl,2006,307
acl,2007,204
acl,2008,119
acl,2009,121
acl,2010,195
acl,2011,250
acl,2012,124
acl,2013,274
acl,2014,278
acl,2015,294
acl,2016,328
acl,2017,291
acl,2018,376
acl,2019,706
acl,2020,769
acl,2021,706
acl,2022,699
acl,2023,1074
acl,2024,864
ase,1997,6
ase,1998,14
ase,1999,4
ase,2000,14
ase,2001,4
ase,2002,10
ase,2003,18
ase,2004,24
ase,2005,26
ase,2006,22
ase,2007,36
ase,2008,32
ase,2009,37
ase,2010,34
ase,2011,36
ase,2012,22
ase,2013,51
ase,2014,55
ase,2015,59
ase,2016,57
ase,2017,67
ase,2018,68
ase,2019,84
ase,2020,93
ase,2021,82
ase,2023,144
asplos,1982,21
asplos,1987,16
asplos,1989,27
asplos,1991,28
asplos,1992,24
asplos,1994,29
asplos,1996,25
asplos,1998,28
asplos,2000,24
asplos,2002,24
asplos,2004,24
asplos,2006,39
asplos,2008,32
asplos,2009,29
asplos,2010,32
asplos,2011,32
asplos,2012,37
asplos,2013,44
asplos,2014,49
asplos,2015,50
asplos,2016,55
asplos,2017,58
asplos,2018,57
asplos,2019,76
asplos,2020,88
asplos,2021,75
asplos,2022,80
asplos,2023,153
asplos,2024,174
cav,1990,38
cav,1991,44
cav,1992,32
cav,1993,39
cav,1994,37
cav,1995,33
cav,1996,33
cav,1997,37
cav,1998,44
cav,1999,37
cav,2000,40
cav,2001,37
cav,2002,44
cav,2003,32
cav,2004,35
cav,2005,38
cav,2006,38
cav,2007,41
cav,2008,36
cav,2009,59
cav,2010,41
cav,2011,60
cav,2012,64
cav,2013,72
cav,2014,57
cav,2015,70
cav,2016,58
cav,2017,61
cav,2018,70
cav,2019,67
cav,2020,65
cav,2021,84
cav,2022,53
