ParentArea,FacultyCount,PublicationCount,PublicationsPerFaculty,ICLR Points
act,937.9197913197976,2121,2.261387401811221,4.991927943501781
ai,2159.383573371063,11662,5.400615316247028,2.0902586651976183
arch,430.7484473859459,1292,2.9994304282248105,3.763608869189689
bed,297.2259892884891,467,1.5711950395654244,7.184775077514662
bio,288.14526029526013,252,0.874558893461505,12.907859089401866
chi,1262.6859681984724,5198,4.116621338095811,2.74222038780133
comm,277.77875319125224,613,2.2067922508743716,5.115426229048766
crypt,265.6790515040514,923,3.4741165883224516,3.2493679112926075
csed,316.4259740259739,815,2.5756419096401375,4.382861965373732
da,508.94555028304865,2240,4.401256674224247,2.5648772152499
ecom,142.23971167721174,639,4.492416305300866,2.5128310011839607
graph,328.93656621156555,1473,4.4780670539759795,2.5208829671635544
hpc,629.9470362970366,922,1.4636151086918565,7.712876763259074
inforet,793.9294677544751,2854,3.594777767944756,3.14030065025088
log,463.54186924186786,694,1.4971678850392762,7.540024786123555
metrics,308.62465451215354,513,1.6622132823798696,6.791356489476358
mlmining,2024.2396811521762,22851,11.288682962184325,1.0
mobile,337.3236804861794,917,2.718457235727839,4.152606417279872
mod,719.337985625487,2256,3.1362169732192537,3.5994585382900834
nlp,903.3811452436548,9420,10.427492370852272,1.082588465251657
ops,158.73268537018524,340,2.141965904546224,5.2702440025887505
plan,440.85641858141696,736,1.6694777913595835,6.761804811426145
robotics,1200.3132548007632,11708,9.754120395798996,1.1573245463574808
sec,806.6672341547378,2769,3.4326422132435845,3.288627902620058
soft,729.3334720834745,1455,1.99497219816818,5.658566556741893
vision,1342.416029803539,16751,12.47824789640771,0.9046689131279526
visualization,442.71416083915955,1333,3.0109721303545247,3.7491821489743073
